date,open,high,low,close,volume
2024-06-14,2307.00,2331.40,2305.80,2331.40,948
2024-06-17,2320.20,2320.20,2309.60,2312.40,110
2024-06-18,2311.80,2330.40,2311.80,2330.40,43
2024-06-20,2328.90,2354.00,2328.30,2353.80,183
2024-06-21,2331.20,2331.20,2316.40,2316.40,76
2024-06-24,2323.30,2332.90,2322.70,2330.00,99
2024-06-25,2324.40,2333.00,2316.60,2316.60,105
2024-06-26,2307.90,2314.40,2298.00,2299.20,986
2024-06-27,2296.80,2329.00,2295.00,2324.50,1532
2024-06-28,2325.40,2338.30,2319.00,2327.70,92
2024-07-01,2323.80,2329.70,2321.70,2327.60,237
2024-07-02,2330.70,2334.60,2323.00,2323.00,30
2024-07-03,2330.90,2361.60,2330.90,2359.80,59
2024-07-05,2354.90,2388.50,2354.90,2388.50,72
2024-07-08,2381.70,2383.80,2352.80,2355.20,64
2024-07-09,2363.10,2363.70,2360.10,2360.10,9
2024-07-10,2366.30,2377.00,2365.80,2372.20,19
2024-07-11,2378.70,2416.70,2378.70,2415.00,72
2024-07-12,2399.80,2414.00,2391.30,2414.00,355
2024-07-15,2430.00,2436.00,2422.90,2422.90,540
2024-07-16,2427.40,2462.40,2427.40,2462.40,93
2024-07-17,2472.90,2473.10,2454.80,2454.80,10
2024-07-18,2466.00,2466.00,2451.80,2451.80,2
2024-07-19,2418.80,2419.20,2395.50,2395.50,15
2024-07-22,2402.10,2402.10,2392.00,2392.00,18
2024-07-23,2395.80,2404.60,2388.70,2404.60,41
2024-07-24,2421.00,2421.00,2411.60,2413.30,6
2024-07-25,2365.50,2365.50,2351.90,2351.90,31
2024-07-26,2368.70,2386.90,2368.70,2380.00,95
2024-07-29,2377.30,2377.30,2377.30,2377.30,126409
2024-07-30,2380.90,2409.30,2373.80,2405.00,25944
2024-07-31,2407.10,2447.60,2402.80,2426.50,1313
2024-08-01,2446.70,2455.10,2430.40,2435.00,690
2024-08-02,2444.00,2477.00,2416.00,2425.70,550
2024-08-05,2442.00,2449.80,2367.40,2401.70,334
2024-08-06,2414.50,2421.80,2380.00,2389.10,163
2024-08-07,2392.20,2401.00,2384.50,2390.50,130
2024-08-08,2384.30,2422.80,2384.30,2422.20,201
2024-08-09,2422.30,2432.10,2418.50,2432.10,611
2024-08-12,2432.70,2469.80,2432.00,2462.40,566
2024-08-13,2461.00,2470.00,2456.50,2466.70,510
2024-08-14,2468.00,2472.10,2439.40,2439.40,274
2024-08-15,2451.80,2467.70,2431.20,2453.10,285
2024-08-16,2453.50,2508.00,2451.40,2498.60,197
2024-08-19,2508.50,2508.50,2487.20,2501.80,88
2024-08-20,2503.50,2527.30,2500.70,2511.30,187
2024-08-21,2511.00,2515.40,2503.90,2508.40,96
